uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
df50e300-4e16-4089-9ce2-1303ae6475e4,vst_BART_2015,61,9.9,241.2,NEON.PLA.D01.BART.02902,TSCA,Tsuga canadensis (L.) Carrière,species
01ee9ff7-2991-468b-96e2-1f76a43fabe0,vst_BART_2015,61,10.4,239.1,NEON.PLA.D01.BART.02903,ACRU,Acer rubrum L.,species
b4cde9b7-f900-4ae2-88f1-beb3bcbcc4af,vst_BART_2015,61,11.8,236.1,NEON.PLA.D01.BART.02904,TSCA,Tsuga canadensis (L.) Carrière,species
586666a7-337f-4735-b99a-f0c0be1d90fc,vst_BART_2015,57,25.6,111,NEON.PLA.D01.BART.02905,FAGR,Fagus grandifolia Ehrh.,species
94c37b87-ad47-4bca-9ca7-f3b2a6e56a4e,vst_BART_2015,57,24.1,112.3,NEON.PLA.D01.BART.02906,FAGR,Fagus grandifolia Ehrh.,species
5639f806-9aae-4511-b3db-d519f1ba1f58,vst_BART_2015,57,22.8,114.9,NEON.PLA.D01.BART.02907,ACSAS,Acer saccharum Marshall var. saccharum,variety
6c446283-6dd7-49b5-a83a-d1e787ea7fca,vst_BART_2015,57,25.1,95.2,NEON.PLA.D01.BART.02908,ACRU,Acer rubrum L.,species
eb5c02ce-0fe5-4522-b4ce-4f3710ccfe79,vst_BART_2015,57,22.1,98.9,NEON.PLA.D01.BART.02909,TSCA,Tsuga canadensis (L.) Carrière,species
cf7058cf-378d-48f8-9df8-d7146afc480e,vst_BART_2015,57,20.7,141.1,NEON.PLA.D01.BART.02911,BEAL2,Betula alleghaniensis Britton,species
7c2e3933-e093-400b-949e-1604e9d566ba,vst_BART_2017,57,15.1,144.1,NEON.PLA.D01.BART.02912,TSCA,Tsuga canadensis (L.) Carrière,species
4bc3e762-1c6c-46a4-bedd-d97b09f618b6,vst_BART_2015,41,10.2,76.6,NEON.PLA.D01.BART.02913,TSCA,Tsuga canadensis (L.) Carrière,species
3cc62b76-f773-4f07-8590-940a65d38777,vst_BART_2015,41,9.7,73.1,NEON.PLA.D01.BART.02914,ACRU,Acer rubrum L.,species
3b17f193-7662-4c5e-b58d-45aa588ae1c9,vst_BART_2015,41,9.9,82.8,NEON.PLA.D01.BART.02915,TSCA,Tsuga canadensis (L.) Carrière,species
a30de14d-d679-4091-bbfc-cdd32827ff77,vst_BART_2015,41,7.4,89.4,NEON.PLA.D01.BART.02916,ACRU,Acer rubrum L.,species
e734ad02-8c00-4236-bb23-9c79fef74fe8,vst_BART_2016,41,6,85.2,NEON.PLA.D01.BART.02917,FRAM2,Fraxinus americana L.,species
ac65f20e-30da-4450-a55d-7a14529aa400,vst_BART_2015,41,7.1,168.8,NEON.PLA.D01.BART.02925,FAGR,Fagus grandifolia Ehrh.,species
9c201d92-45f0-40d2-a11c-507b26cdabe6,vst_BART_2015,43,18.7,245.5,NEON.PLA.D01.BART.02926,ACRU,Acer rubrum L.,species
aa13af17-ec3b-4363-8159-b16fa4790ecb,vst_BART_2015,43,15.9,245.1,NEON.PLA.D01.BART.02927,FAGR,Fagus grandifolia Ehrh.,species
bf602587-e0fb-4188-8800-6186058b294f,vst_BART_2015,41,7.2,136,NEON.PLA.D01.BART.02928,FAGR,Fagus grandifolia Ehrh.,species
